sentence,is_humor
fox news doctor: ben carson was right about guns and the holocaust,0
calcutta fire marshal: many indian homes lack bride extinguisher,1
"gerber recalls 60,000 jars of baby poison",1
charlotte police killing leaves city on edge,0
jojo is back with a perfect 'tringle' of songs,0
'the economist' to halt production for month to let readers catch up,1
11 life lessons i learned from my year of running,0
lauren conrad shares 4 simple rules for dealing with pregnant women,0
ford develops new suv that runs purely on gasoline,1
what happened at a texas frat when they thought no one was watching,0
voyager probe badly damaged after smashing into end of universe,1
10 resolutions every woman should make in 2017,0
u.s. kids fail at physical activity,0
study: home rotisseries only american technological field still advancing,1
'the scream' returns from two-year vacation relaxed,1
powerful 'his and hers' towel lobby stalls gay marriage legislation,1
"people are trying to listen to 'serial,' so can you kindly stfu?",0
terrifying man selling dead trees out of middle school parking lot,1
man dies all by himself,1
congress gets another reminder from scientists that climate change isn't coming -- it's already here,0
"divorce, life and reconciliation",0
pre-teen moves from giggling-at-everything phase to never-smiling phase,1
few animals harmed in making of film,1
why you should use conditioner before getting in the shower,0
"$85,000 in fertility treatments result in miracle",1
police find recorded 'confession' on austin bomber's cellphone,0
exhausted nation unsure it has stamina to continue gun control dialogue for fifth consecutive day,1
early-morning jogger pities everyone still sleeping,1
from the front line against hiv: time to end the federal syringe ban,0
jane seymour's secrets to feeling young after 50,0
the very nonsensical trump budget proposal,0
paris jackson stands up to social media haters and their 'ridiculous' expectations,0
yellowstone park attempts to increase ranger population with new mating program,1
man panics after reaching age where parents prematurely started family,1
having kids radically reshapes parents' immune systems,0
"poll: 80 percent of americans in favor of storming castle, destroying inhuman monster",1
obama administration to unveil plans to cut methane emissions,0
reince priebus says rnc was 'absolutely not hacked',0
robert pattinson & fka twigs spend time at chateau marmont,0
mark ruffalo in infinitely polar bear,0
breaking: ufos spotted on classy porcelain dinnerware,0
man in suit makes decision affecting thousands of non-suited individuals,1
climate science on trial again,0
report: crooked border guards planting illegal immigrants in cars,1
cat likes it doggy style,1
school teacher not about to risk her life for derek,1
7 ways to look like a pro in a wine tasting room,0
couple married 75 years renew their vows in sweet nursing home ceremony,0
visine introduces new eye-whitening strips,1
friend hosting super bowl party confirms there still plenty of room on floor,1
95-year-old woman uses lottery winnings to join 21st century,0
carry that weight: the revival of feminist performance art,0
what everyday iranians have to say about the nuclear deal now that it's a reality,0
the history of the baby name 'stormi',0
paula broadwell crashing on petraeus family's couch until sex scandal blows over,1
more than 200 demonstrators arrested during may day rallies in paris,0
"i'm all in for hillary clinton, my next president",0
"mueller: 'well, we got the liar. probe's over'",1
tenants feel guilty asking elderly maintenance man to fix anything,1
frustrated wildfire spends hours stuck in l.a. traffic,1
political cartoonist's wife finds disturbing nude drawings of uncle sam,1
"6 months of trump, 6 lessons learned",0
this new federal law will change foster care as we know it,0
drinking beer could help save this adorable red panda,0
why happy hours may soon replace early bird specials,0
"aatish taseer talks sanskrit, the dangerous power of english, and his new novel",0
sean spicer quietly puts painting back over unfinished escape tunnel,1
knobby-faced beast may be earliest known to stand tall on all fours,0
cooking off the cuff: mushrooms make the meatloaf (duck doesn't hurt either),0
"cameron diaz says she's 'actually retired,' so there",0
oxford english dictionary to add 'skype' and 'coat' to latest edition,1
21-year-old adult throws hissy fit,0
scientific journal releases list of year's top 100 compounds,1
"senate panel to probe russian hacking, links to campaigns",0
creating is a drug,0
mueller combs through dozens of damning white house emails he was accidentally cc'd on,1
another mass shooting and more prayers. america has officially given up.,0
ben carson has a weirdly specific vision of how 'the purge' could turn real,0
bush quietly rolls back iraq death toll to zero,1
why sharing your dreams is so important,0
vape flavor ban threatens san francisco's legacy of harm reduction,0
local couple needs to talk,1
chicago is fighting climate change no matter what trump says,0
"too old to drive? think again, google to the rescue.",0
what white educators can learn from pittsburgh's police chief,0
'snl' stars have the perfect comeback to trump's angry tweets,0
the 10 best cities for college grads in 2015,0
i know something about grace,0
why does this town have two grenade launchers?,0
publicist schmoozes wife into sex,1
friday's morning email: what the senate health care bill could mean for you,0
weather channel destroys breitbart over bs climate change story,0
sir mix-a-lot wasn't trying to speak for women with 'baby got back',0
custody battle sparks couple's first-ever interest in child,1
our favorite queer web series 'the outs' is finally returning,0
fox news host: donald trump could get corporate sponsors for his wall,0
diego luna's short film celebrates 'the immigrants that make the u.s. great',0
"during the debate, these two did the unthinkable and united the country",0
kinko's patron pulls the old copy-key switcheroo,1
woman says cops 'murdered' brother in tussle after breaking into home without warrant,0
james corden making major changes to show after london attacks,0
nation's shark experts: 'you could've had this job',1
"'i want to be with someone else,' says woman who must think 3-time hyundai sales leaders grow on trees",1
steve bannon is even worse than you thought,0
"prepare your mind, body and soul for this leaked britney spears track",0
north carolina governor: criticism over anti-lgbt law is 'political theater',0
'open sesame' are  not always magic words,0
shark attack claims life of some guy on tv,1
"women in business q&a: alexandra voris and maggie patton, founders of bitsy's brainfood",0
celine dion's brother daniel dead at 59 after battle with cancer,0
man falls asleep at intersection. what cops say happens next is pure florida,0
hilary duff hints that she could reconcile with mike comrie,0
first report on long-term effects of breakdancing released,1
starship crew heroically saves screen,1
why it's ridiculous to report on every poll coming out of new hampshire,0
media suffering through record normal temperatures,1
3-week-old jack-o'-lantern excited to give one last scare when slightest touch causes it to collapse into disgusting mush,1
"fast and furious: novels, the media and our changing world",0
"hgtv star explains why you should never ask, 'when are you going to have a baby?'",0
nursing home placement can be the most loving choice for a person with alzheimer's,0
flu takes down biggest guy in office as warning to rest of staff,1
song crafted in the deepest pit of hell wins big at grammys,1
"gentrification mockumentary asks you to please remember rich, white kids",0
guns and georgia,0
hypothetical multi-ethnic customer base smiles down from hmo billboard,1
gary johnson worried he peaking too early after hitting 9% in polls,1
'bad to the bone' to be used in film,1
hometown boy makes good enough,1
south korean president shakes hands with north korean leaders during winter olympics opening ceremony,0
why this coptic christian bishop is willing to forgive isis,0
new hobby to tide retired man over until death,1
the best clothes for the man-child in your life,0
the empty calories of fossil fuels,0
swarthmore college president surprises community,0
he was a friend of mine: jack slater,0
dad transforms kids' toy cars into epic 'mad max' mobiles,0
florida man sentenced for running over ducks with lawnmower,0
7 ridiculously easy ways to protect your bones at any age,0
'not racist' guy says honoring mlk will make him show 'racist ways',0
a guide to how much butter is in your favorite baked goods,0
adorable kids ask pharrell hard-hitting questions about his new book 'happy',0
tomato genetically modified to be more expensive,1
how to live the good life in this mexican retirement paradise,0
new after-school program aims to keep children off streets for additional 45 minutes,1
new evidence suggests dinosaurs died in cretaceous period hospice,1
"adele opens up about her private life, squad goals and new album",0
roommate all into cycling now,1
"huffpost hill - america nostalgic for bush v. gore, somehow",0
worst person woman knows pregnant,1
heroin is cheaper than beer and easy to get in pennsylvania,0
these posts reveal the terrible double standard of how we handle black death,0
mcdonald's fights world hunger with new triple-decker burger,1
conservative fury falls on ryan,0
head of nbc suddenly remembers he meant to cancel 'rock center' 8 weeks ago,1
local oaf not sure what part of counter you order at,1
twitter's latest anti-troll measure is perfectly timed,0
monument designer to see if some other country wants to buy rejected war memorial,1
obama: joe biden's got 'his own decisions to make' about 2016,0
republican wants gun control for federal officials,0
god announces plans to take a few millennia to focus on storms,1
why scott walker's views on evolution are totally relevant,0
how to rekindle a lost passion in your life,0
5 ways modern science is embracing ancient indian wisdom,0
area man remembers less politically correct time when christmas was about honoring the glory of saturn,1
audubon society revokes black-capped chickadee's membership after species fails to pay dues,1
the pta mom and the power couple from hell,0
these 8 asian american movement stories from the past year show us the way forward,0
"fed: 'if jobs are meant to be with us, they'll come back on their own'",1
"colorado church remembers fallen officer, asks forgiveness for shooter",0
baby fox who was supposed to die finds man who believes in her,0
"northeast storm leaves at least 9 dead, more than 1.5 million without power",0
"'the world cannot wait â€” and neither will we,' 61 mayors pledge",0
childhood friend stops writing after two e-mails,1
the kansas city royals love 'trap queen' more than you,0
brendan fraser to star in new pre-movie trivia question,1
senators wish domenici would bring dog to work more often,1
finding a gifted translator to translate your important documents into foreign languages,0
could cannabis prevent childhood seizures?,0
samantha bee tells democrats what it'll take to stop donald trump,0
john kerry jettisons russian henchmen from international space station airlock,1
obama lays out plan to achieve lasting peace talks in middle east,1
mueller poses as fox news host to coax rudy giuliani into giving him testimony on trump,1
scarf tragically lost in 15-coat pile-up,1
rep. jim costa re-elected in california,0
incredibly daring man swims to hawaii's lava with a selfie stick,0
this influencer is using youtube to speak frankly about student loan debt,0
cricket located,1
increasingly desperate advertisers settle for more attainable 35-to-44-year-old demographic,1
report: there still time to convert to christianity before christmas starts,1
solar jobs report shows huge growth,0
double-jointed man on date breaks it out too early,1
election night orgy shifts positions so everyone can see results come in,1
newtown victim's animal sanctuary dream becomes a reality,0
area horse hung like horse,1
united airlines cracking down on emotional support spouses,1
this texas city has unsafe water for the 4th time in 2 years,0
north korea ranked least-entertained nation on earth,1
bush not heard from for over a month,1
"'this is a pointless trip,' obama says while shaking hands with netanyahu",1
how to criticize your kids without ruining their self-esteem,0
what i want other parents to know about living with food allergies,0
border patrol violence must stop,0
pep talk laced with personal threats,1
"sociologists confirm emergence of generation more entitled, self-absorbed than any seen before",1
new school shooter drill includes practicing pleas to lawmakers to do something about this,1
office politician runs for coffee,1
exclusive: bet responds after coming under fire from journalists and publicists,0
daily meditation: by the riverside,0
"women in business q&a: roxane divol, svp and gm, trust services, symantec",0
nina solomon's love book,0
man eating cashew butter can't believe he wasted so many years fucking around with peanut butter,1
croatian prime minister currently stuck under pile of turnips,1
"from a fatherless daughter: dads, you're doing it right",0
no way old man in park not thinking about dead wife,1
london mayor sadiq khan to be joined by huffpost editor-in-chief lydia polgreen at sxsw 2018,0
the 5 running essentials you need to train for your first 5k,0
tea party congressman calls for tax breaks to put out raging wildfire in district,1
"dignified cat dressed in adorable, painful sweater",1
watch skateboarder shred a downhill run at 70 mph,0
here's why a nonprofit named for anne frank keeps attacking trump,0
the gun industry's next big thing is neither big nor new,0
billy ray cyrus to speak out on single-payer health-care issue on politically incorrect,1
confounded pollsters admit there no way of predicting mercurial behaviors of beguiling female vote,1
woman alleges donald trump groped her at 1998 tennis tournament,0
"america is pretty damn great already, biden says in fiery dnc speech",0
"caring for every preemie, every day",0
watch taylor swift and zayn trash a hotel room in 'i don't wanna live forever' music video,0
report: only 7 band names remaining,1
dean heller's approval rating takes a hit after health care 'debacle',0
man surprised by how often he still uses bullying skills he learned in high school,1
huffpollster: even christmas isn't safe from partisanship,0
bush proud u.s. economic woes can still depress world markets,1
let's try to talk about race,0
millions of kids could be at risk because of this deadly dresser,0
nationwide art project is making space for historic women in all 50 states,0
decision to ask out girl made using 10-sided die,1
"trump campaign manager faces new allegations of pushing, sexually suggestive comments",0
a playful reminder not to get too stressed out by parenting advice,0
chinese-american professor sues fbi agents after being accused of espionage,0
what to stream on netflix in october,0
'crisis actor' alex jones gets a taste of his own medicine in brilliant troll,0
area fifth-grader won't shut up about raccoons,1
most important election of 2015: chuy garcia's people's campaign versus rahm emanuel's big money,0
boxer hopes he can make money punching things in retirement,1
slushing in utah at the end of ski season,0
how american sniper became a surprise mega-hit honoring america's martial culture and highlighting the futility of the iraq war,0
new study finds primitive customers capable of buying tools from hardware store,1
movie review: edge of tomorrow... don't go there,0
new 'wondersplint' makes fractures appear larger; fuller,1
plan 'l' switched to,1
7 reasons we love matt bomer,0
'empire' actor trai byers squashes rumors of wanting to quit the show,0
mom in nightgown mode,1
vatican issues first comments on trump's immigration ban,0
russell simmons denies rape accusations with #notme,0
bruce springsteen on fence about playing assad's birthday gig,1
adopting? proceed reverently,0
holiday blues: spirituality to the rescue,0
first-grader given sticker for behavior during lockdown drill,1
"man calls 911 when he runs out of rolling papers, police say",0
typo in proposition 8 defines marriage as between 'one man and one wolfman',1
report: stating current year still leading argument for social reform,1
trump the globalist plutocrat,0
"drew droege is sassy, sloshed and single in a hilarious new play",0
state's abortion waiting period allows women to explore alternatives to making their own decisions,1
i don't belong in tech,0
god admits stealing idea for messiah from zoroastrianism,1
everyone in sporting goods store looking for something to get on stepson's good side,1
347 locals identify slain prostitute,1
tv is finally catching up with real single women,0
blue whale found dead on northern california beach likely struck by ship,0
gondolier ordered to follow that gondola,1
dysfunctional singles find each other,1
'13 reasons why': stop telling young women true love will save them,0
chrysler names '83 lebaron ceo,1
dnc unveils clinton institute for campaign ethics reform in response to corruption allegations,1
cops and educators agree: arming teachers is a terrible idea,0
supreme court mistakenly used belgium's constitution for last 3 rulings,1
sprite introduces cola-flavored sprite,1
bernie sanders fills in for factory worker unable to take time off to vote,1
'straight outta compton' is a stunning surprise,0
inspire the world,0
war in afghanistan: enough is enough,0
"someone stole a ton of very, very valuable bull semen",0
joe biden tells latinos to 'make no damn apologies for anything',0
"man who just bought mayan headdress, 4 crates of corn pretty sure you'll be looking like the fool when apocalypse happens",1
for all the bffs with zero boundaries,0
roommate won't shut up about his best sound mixing oscar,1
donald trump slams virginia gop for instituting loyalty pledge,0
empowering women and girls to own their worth,0
obama to impose major new regulations on offshore drilling,0
informal tone of cover letter sets job applicant apart from seriously considered candidates,1
"ukraine says missile tests will avoid crimea, mollifying russia",0
area smoker one of america's top phlegm-producers,1
mom reports that hometown actually has a lot going on now,1
jack lalanne pops back up after cool down,1
guy from the strokes accused of trying to look like guy from the strokes,1
man constantly blaming his problems on fact that he's on fire,1
why we sabotage our relationships,0
coffee nail art that will perk up your monday morning,0
shamed and abandoned: the fate of syria's former female inmates,0
nation delighted by rich ass who fires people,1
saddam hussein presents suicide bomber's family with oversized check,1
gay rights leader lookin' good,1
prince george and princess charlotte steal the show at the royal wedding,0
songs that are always on in background expected to win big at grammys,1
nathan deal defeats jason carter in georgia gubernatorial race,0
comic takes your awful first date to its logically terrifying extreme,0
melania trump returns to white house after kidney procedure,0
"new year, new semester: college prep for juniors",0
former nfl player to sue minnesota vikings over investigation into anti-gay allegations,0
scientists develop new extra-sloppy peach,1
director scott schwartz takes on disney's hunchback,0
nra: 'please try to remember all the wonderful things guns do for us every day',1
bush extremely proud of new suit,1
latina business owner faces death threats for appearing onstage at donald trump rally,0
ciro guerra's 'embrace of the serpent' at cannes: a conversation with the colombian director about shamanism,0
why the rohingya can't return,0
the 1 minute blog. protesters and looting.,0
aid for syrians stuck on border due to political bickering,0
hiroshima visit brings feelings of guilt to american born in japan,0
"freak totally has the hots for you, popular-girl sources report",1
affair to threaten whatever it is john edwards does for a living,1
ceo would trade 5 percent of stock options for 10 percent more time with his kids,1
this 11-year-old perfectly sums up the problems in ferguson,0
friday's morning email: charleston gunman planned attack for months,0
'a day with hiv' campaign tells the powerful stories of those affected by hiv,0
catholic teens still coming down after excitement of world youth day,1
top official resigns from trump epa with scathing letter,0
"rowdy, raunchy, jet-setting barbados can be more affordable than you might think",0
al franken will leave senate in early january,0
read 'death of a king: the real story of dr. martin luther king jr.'s final year' by tavis smiley,0
catholic parish divided over priest's decision to ban married gay couple from receiving communion,0
"single, unemployed mother leeching off government",1
subsidiary publication recommends you see parent corporation's movie,1
9/11 memorial curators decide not to display swastika formed by twisted girders found at ground zero,1
"'it's real easy,' declares it guy about to speak incoherently for next 30 seconds",1
study: depression up among teenage girls able to perceive any part of world around them,1
effective pr on a start-up budget,0
i cannot take gabrielle union's op-ed on nate parker lightly,0
this poet doesn't care if you're tired of hearing about race,0
"britain grants refugee status to ex-president of maldives, lawyer says",0
daniel tosh chuckles through own violent rape,1
nation currently more sympathetic to demise of planet krypton than plight of syria,1
meet the 28-year-old who helped pave the way for marriage equality in germany,0
the healthcare industry: a prescription to help heal racial economic inequality,0
steve nash responds to injury critics with emotional letter,0
"days before the election, one place in washington rose above politics",0
"i care for everyone, but i'm nobody's caretaker",0
area man pretty loud at guitar,1
how imani boyette's love for basketball helped her overcome depression,0
owner of independent comic book store in ohio not quite sure how he's still in business,1
local grandmother feared dead after appearing in woman's profile picture,1
everything you worked so hard for lying in splinters at your feet,1
bush tumbles wildly down washington monument staircase,1
massive protests call for an end to togo's 50-year political dynasty,0
selene chin: ground yourself with the right skills,0
sullen jeff sessions scrolls through minority incarceration statistics to cheer self up,1
"debbie robins de la bouillerie, best selling author, executive leader, film and television producer died on august 31st at the age of 58.",0
the key to chip and joanna gaines' marriage isn't really a secret,0
woman's parents accepting of mixed-attractiveness relationship,1
this is the next big tv writer for the modern woman,0
congress reassures nervous zuckerberg they won't actually do anything about this,1
google combats holocaust-denying search results with algorithm update,0
u.s. falls short of success,1
tv agent olivia metzger is parting ways with the creative artists agency,0
the politics of fashion | the fashion of politics (video),0
paralyzed dog couldn't be happier to get a second chance at walking,0
carson says trump knows judge attack was wrong,0
bernie sanders suspends staffer for being as tough on israel as he is,0
fan-favorite first season of bush administration released on dvd,1
i flinched at their forgiveness,0
too much expected from nap,1
fixin's added to food pyramid,1
james corden asks what everyone wants to know about omarosa,0
video game boss thinking he should get big glowing weak spot on back checked out,1
tim robbins tired of being typecast as relatively tall characters,1
birthday cards from grandma becoming more religious,1
a bride harbors an intimate secret in this haunting short film,0
sitcom resorts to wizard of oz-themed fantasy episode,1
local extension cord blasted for failing to reach outlet,1
chinese new year is a boom time for fake girlfriends,0
valentine's day coming a little early in relationship,1
preventing 'madmen' from getting their hands on nuclear material,0
couple just wants small ceremony in public park with close friends and shirtless stranger hanging around tree,1
"oil train derails, spilling crude in columbia river gorge",0
old photographs reveal grandmother never that attractive,1
hollywood removes statue of louis b. mayer beckoning judy garland to sit on his lap,1
"syrian rebels, government say new deal in works to secure aleppo evacuation",0
"parents' password a grotesque combination of children's names, birthdays",1
jenna jameson calls on women to #dropthecover and celebrates motherhood,0
enrique iglesias and anna kournikova share first photos of newborn twins,0
thursday's morning email: the obamacare repeal comes down to these three senators,0
man removing sweatshirt offers coworkers tantalizing glimpse of bare midriff,1
shopping for happiness in the oscar race's gorgeous department stores,0
business card confirms real-estate salesman is eddie money,1
"meet charth vader,the 7-year-old 'villain' who will melt your cold and icy heart",0
inanimate object despised,1
viral photo catches alabama cop helping homeless father and son,0
5 essential lists to make before the end of this year,0
"women in business q&a: star jones, president, professional diversity network",0
that's what host of 'showtime at the apollo' talking about,1
"reclaiming 'usa!, usa! usa!' from the bigots in murrieta",0
how a man who got his start in construction became the most powerful foreign policy voice in congress,0
"popeye decries mideast bombings; 'dese bombinks is disgustipating,' says sailor man",1
greenspan to play 15 unannounced small-club shows,1
kremlin reports yeltsin in good health following burial,1
let food truly be your fuel,0
bill cosby feeling better now,1
seasonal depression to take over for chronic depression for a few months,1
how early-life stress could increase risk of anxiety and depression later in life,0
no one at porn site responding to area man's bad link report,1
buoyant force on area object equal to weight of water displaced,1
tribe prepares to keep up pipeline protest through north dakota winter,0
child assured most monsters do not exist,1
"'sometimes it feels like you're the only one who understands me,' whispers trump to white house roach infestation",1
authorities confirm north korea now has missile capable of hitting sam waterston's house,1
'must-see tv' now enforced by law,1
pope francis concerned about infection from holy spirit bite,1
high school elects gay 45-year-old homecoming king for first time in school history,1
study finds eating doctor after birth can provide essential nutrients to new mothers,1
person cropped out of match.com picture clearly buzz lightyear,1
democrats celebrate doug jones' stunning victory,0
controversial study links e-cigarettes to formaldehyde exposure,0
"family comes first, reports man trying to get out of work",1
"as high court weighs online sales taxes, states get ready to pounce",0
report: jessica milly has put out,1
dreamers face nightmare of trump's deportation force,0
highlighting in used copy of plato's republic stops on page 17,1
historical archives: wide-spread powder shortage confounds nation's bewigged.,1
shadow government attracts shadow protesters,1
leslie jones and adam rippon commentating on figure skating is an olympic dream,0
law enforcement questions why alton sterling was even black in the first place,1
teen on brink of experiencing incredible journey of motherhood instead asks boyfriend to use condom,1
"in the wake of garner, a plea for hope",0
teens spend wild spring break in d.c. begging lawmakers for their lives,1
"ryan to unveil policy agenda, starting with anti-poverty initiative",0
watch this swimmer disappear into winter storm jonas,0
here's what it's like to be somebody who hates everyone and everything,0
12 delicious marcel duchamp quotes to unleash your inner artist,0
teach for america celebrates 3 decades of helping recent graduates pad out law school applications,1
"president urges calm, restraint among nation's ballad singers",1
"bp opens multi-floor, 1,000-pump flagship gas station in times square",1
eclipse comes just in time to save john kerry from tribe of island cannibals,1
stone-hearted ice witch forgoes exclamation point,1
beauty queen scarfs down 12 krispy kreme doughnuts in no time,0
months of painstaking practice critiquing celebrity fashion comes down to this for area woman,1
younger siblings are good for older siblings' health,0
the inspiration of muhammad ali: a black-american muslim perspective,0
emancipated gay: challenging the lgbt stronghold on what it means to be gay,0
republican women: a reminder that your party is not for you,0
martin o'malley explains how he'd expand social security as progressives wait on hillary clinton,0
dip good,1
a new massachusetts 'sustainable energy' coalition is really a front for gas interests,0
parkland could've been worse. vegas could've been worse. they can always be worse.,0
senators rip obama's 'flexible' interpretation of international drug controls,0
could this be the end of the kellen moore experiment?,0
classified america,0
the revolution at colonial williamsburg,0
slightly larger chair shifts delicate balance of office power,1
how pakistan's unregulated madrassa system sows religious strife,0
nation mostly alarmed that government's top programs handled by 29-year-olds,1
chipotle mayo doing all the heavy lifting in sandwich,1
"old bastard, dirty bastard, dirty old bastard, ol' dirty bastard",1
albuquerque cops who shot homeless man will not face federal charges,0
the spirit that drove us to civil war is back,0
plastic bag still up in tree,1
some people are pissed off about the casting of a black hermione granger,0
"bumble bee tuna celebrates 10,000th supermarket circular cover",1
audience left wondering what happened after action film pans from character to shot of blood spattering against wall,1
bernie sanders shows how reagan destroyed the middle class,0
mcdonald's says its packaging will be 100 percent green by 2025,0
"ted cruz, rand paul are insiders running in an outsiders' game",0
watch college students surprise beloved cafe worker with a dream trip to disney,0
biting argument over trump may cost man his ear,0
"'we must restore rule of law,' says trump as aides pass out revolvers to audience",1
accidentally closing browser window with 23 tabs open presents rare chance at new life,1
why i launched a platform to empower survivors of bullying,0
dixieland band evicted,1
donald trump: the four-legged stool,0
move to houseboat regretted by third day,1
aids baby lays tiny hand in palm of 'onion' reporter,1
mathew ward: be willing to work your way up,0
what's the matter with dystopia?,0
average age of wacky tv neighbors dropping,1
'today' anchors wear 'charlie brown' costumes for halloween,0
14-year-old collapses under weight of corporate logos,1
cancerous tumor befriends small boy,1
microsoft and amazon have a plan for driverless cars,0
friday talking points -- the knives come out,0
"kelly clarkson felt 'suppressed,' says top country star's career changed when he came out",0
why i'm stonewalling 'stonewall',0
divergent views on the middle east at the un general assembly,0
nfl player avery williamson wears 9/11 cleats despite threat of fine,0
sasha obama orders secret service agent to stop squirming during makeover,1
roller coaster designer's artistic vision sullied by fantastic four tie-in,1
jimmy kimmel hilariously stops by 'sesame street' to introduce a new letter,0
"shit, guy in front of you ordering for entire construction crew",1
sen. tim scott responds to john kelly: 'no compromise to make' on civil war,0
tim kaine forced to drink ipecac after eating sheet of 'i'm with her' stickers,1
is america's president a russian asset?,0
washington post: maine gov. paul lepage is 'completely unhinged' and should quit,0
huffpollster: california's democratic primary looks closer than ever,0
scared of dying,0
houses of worship explore creative designs to serve people with disabilities,0
paleontologists: 'we've been looking at dinosaurs upside down',1
40-year-old has spiky hair,1
chris harrison says he doesn't have time to 'hate-watch' 'unreal',0
do latino businesses pander to white customers?,0
mexican man says 19-inch penis is destroying his life,0
loser can't even get wife pregnant,1
"overheard in minnesota, dontcha know?",0
"zika virus joins lack of paid leave, unaffordable child care as reasons woman afraid of getting pregnant",1
top 5 bagel spots in nyc,0
suburban teen has near-def experience,1
author of botched daniel holtzclaw profile apologizes for 'lopsided account',0
3822 voted america's favorite pin number,1
teacher protests in detroit cause schools to close,0
how to travel milan in just one day,0
justin trudeau unveils plan to meet healthcare needs of canada's aging prog rockers,1
copy editor's revenge takes form of unhyphenated word,1
r.a. has bad feeling about kid in cloak,1
'hands across liechtenstein' raises $30 for liechtenstein charities,1
why you need to brag more and 3 ways to do it,0
huffpost hill - so hard to say good bayh,0
republicans poised to retain control of senate,1
fcc sniper takes out matthew mcconaughey to prevent live broadcast of profanity,1
fox news host bret baier admits clinton indictment report was a 'mistake',0
semester at sea students steal anchor for dorm room,1
"news roundup for july 12, 2017",0
best of abu dhabi: learning the games people play through the narcicyst's rise,0
arne duncan spends visit to local elementary school looking at ufo books in library,1
"deep down, area man knows he's not done vomiting",1
man's whole job undoing handiwork of self-checkout machine,1
